Epoch 0, Average Loss: 5.0980, Average BCE: 0.1838, Average KLD: 4.9142
Epoch 1, Average Loss: 54703.5625, Average BCE: 0.1568, Average KLD: 54703.4062
Epoch 2, Average Loss: 3311.4785, Average BCE: 0.1589, Average KLD: 3311.3196
Epoch 3, Average Loss: 1262.9474, Average BCE: 0.1396, Average KLD: 1262.8077
Epoch 4, Average Loss: 596.5645, Average BCE: 0.1079, Average KLD: 596.4566
Epoch 5, Average Loss: 231.8271, Average BCE: 0.0930, Average KLD: 231.7341
Epoch 6, Average Loss: 81.4594, Average BCE: 0.1115, Average KLD: 81.3479
Epoch 7, Average Loss: 49.3933, Average BCE: 0.1130, Average KLD: 49.2803
Epoch 8, Average Loss: 15.6374, Average BCE: 0.0924, Average KLD: 15.5450
Epoch 9, Average Loss: 6.9312, Average BCE: 0.0842, Average KLD: 6.8470
Epoch 10, Average Loss: 5.0936, Average BCE: 0.0830, Average KLD: 5.0105
Epoch 11, Average Loss: 5.5049, Average BCE: 0.0873, Average KLD: 5.4176
Epoch 12, Average Loss: 4.4044, Average BCE: 0.0899, Average KLD: 4.3145
Epoch 13, Average Loss: 4.3079, Average BCE: 0.0887, Average KLD: 4.2192
Epoch 14, Average Loss: 4.3613, Average BCE: 0.0853, Average KLD: 4.2760
Epoch 15, Average Loss: 4.3328, Average BCE: 0.0779, Average KLD: 4.2549
Epoch 16, Average Loss: 3.7606, Average BCE: 0.0874, Average KLD: 3.6732
Epoch 17, Average Loss: 2.9787, Average BCE: 0.0823, Average KLD: 2.8964
Epoch 18, Average Loss: 2.6538, Average BCE: 0.0830, Average KLD: 2.5708
Epoch 19, Average Loss: 1.8306, Average BCE: 0.0908, Average KLD: 1.7397
Epoch 20, Average Loss: 1.4439, Average BCE: 0.0838, Average KLD: 1.3601
Epoch 21, Average Loss: 1.7043, Average BCE: 0.0765, Average KLD: 1.6278
Epoch 22, Average Loss: 0.9804, Average BCE: 0.0777, Average KLD: 0.9027
Epoch 23, Average Loss: 0.7972, Average BCE: 0.0785, Average KLD: 0.7187
Epoch 24, Average Loss: 0.5394, Average BCE: 0.0814, Average KLD: 0.4580
Epoch 25, Average Loss: 0.5978, Average BCE: 0.0855, Average KLD: 0.5123
Epoch 26, Average Loss: 0.3197, Average BCE: 0.0834, Average KLD: 0.2362
Epoch 27, Average Loss: 0.4666, Average BCE: 0.0761, Average KLD: 0.3905
Epoch 28, Average Loss: 0.3003, Average BCE: 0.0775, Average KLD: 0.2228
Epoch 29, Average Loss: 0.4039, Average BCE: 0.0796, Average KLD: 0.3243
Epoch 30, Average Loss: 0.2788, Average BCE: 0.0772, Average KLD: 0.2016
Epoch 31, Average Loss: 0.3365, Average BCE: 0.0777, Average KLD: 0.2589
Epoch 32, Average Loss: 0.3027, Average BCE: 0.0780, Average KLD: 0.2247
Epoch 33, Average Loss: 0.2939, Average BCE: 0.0824, Average KLD: 0.2115
Epoch 34, Average Loss: 0.2894, Average BCE: 0.0772, Average KLD: 0.2123
Epoch 35, Average Loss: 0.2430, Average BCE: 0.0764, Average KLD: 0.1666
Epoch 36, Average Loss: 0.2730, Average BCE: 0.0735, Average KLD: 0.1994
Epoch 37, Average Loss: 0.2136, Average BCE: 0.0773, Average KLD: 0.1363
Epoch 38, Average Loss: 0.2627, Average BCE: 0.0763, Average KLD: 0.1864
Epoch 39, Average Loss: 0.1912, Average BCE: 0.0737, Average KLD: 0.1176
Epoch 40, Average Loss: 0.2062, Average BCE: 0.0775, Average KLD: 0.1287
Epoch 41, Average Loss: 0.1771, Average BCE: 0.0721, Average KLD: 0.1050
Epoch 42, Average Loss: 0.1576, Average BCE: 0.0732, Average KLD: 0.0844
Epoch 43, Average Loss: 0.1712, Average BCE: 0.0764, Average KLD: 0.0948
Epoch 44, Average Loss: 0.1317, Average BCE: 0.0711, Average KLD: 0.0607
Epoch 45, Average Loss: 0.1448, Average BCE: 0.0698, Average KLD: 0.0750
Epoch 46, Average Loss: 0.1273, Average BCE: 0.0729, Average KLD: 0.0544
Epoch 47, Average Loss: 0.1151, Average BCE: 0.0664, Average KLD: 0.0487
Epoch 48, Average Loss: 0.1215, Average BCE: 0.0704, Average KLD: 0.0511
Epoch 49, Average Loss: 0.1023, Average BCE: 0.0685, Average KLD: 0.0339
Epoch 50, Average Loss: 0.1109, Average BCE: 0.0684, Average KLD: 0.0424
Epoch 51, Average Loss: 0.1001, Average BCE: 0.0655, Average KLD: 0.0346
Epoch 52, Average Loss: 0.0957, Average BCE: 0.0655, Average KLD: 0.0302
Epoch 53, Average Loss: 0.1036, Average BCE: 0.0692, Average KLD: 0.0343
Epoch 54, Average Loss: 0.0924, Average BCE: 0.0684, Average KLD: 0.0240
Epoch 55, Average Loss: 0.0962, Average BCE: 0.0690, Average KLD: 0.0272
Epoch 56, Average Loss: 0.0996, Average BCE: 0.0754, Average KLD: 0.0243
Epoch 57, Average Loss: 0.0917, Average BCE: 0.0711, Average KLD: 0.0205
Epoch 58, Average Loss: 0.0950, Average BCE: 0.0705, Average KLD: 0.0246
Epoch 59, Average Loss: 0.0893, Average BCE: 0.0712, Average KLD: 0.0181
Epoch 60, Average Loss: 0.0879, Average BCE: 0.0688, Average KLD: 0.0191
Epoch 61, Average Loss: 0.0879, Average BCE: 0.0702, Average KLD: 0.0177
Epoch 62, Average Loss: 0.0839, Average BCE: 0.0689, Average KLD: 0.0149
Epoch 63, Average Loss: 0.0844, Average BCE: 0.0676, Average KLD: 0.0168
Epoch 64, Average Loss: 0.0819, Average BCE: 0.0696, Average KLD: 0.0123
Epoch 65, Average Loss: 0.0823, Average BCE: 0.0694, Average KLD: 0.0129
Epoch 66, Average Loss: 0.0794, Average BCE: 0.0678, Average KLD: 0.0116
Epoch 67, Average Loss: 0.0772, Average BCE: 0.0671, Average KLD: 0.0101
Epoch 68, Average Loss: 0.0798, Average BCE: 0.0691, Average KLD: 0.0107
Epoch 69, Average Loss: 0.0808, Average BCE: 0.0729, Average KLD: 0.0079
Epoch 70, Average Loss: 0.0777, Average BCE: 0.0690, Average KLD: 0.0086
Epoch 71, Average Loss: 0.0724, Average BCE: 0.0654, Average KLD: 0.0070
Epoch 72, Average Loss: 0.0750, Average BCE: 0.0680, Average KLD: 0.0070
Epoch 73, Average Loss: 0.0761, Average BCE: 0.0696, Average KLD: 0.0064
Epoch 74, Average Loss: 0.0764, Average BCE: 0.0711, Average KLD: 0.0052
Epoch 75, Average Loss: 0.0751, Average BCE: 0.0695, Average KLD: 0.0057
Epoch 76, Average Loss: 0.0728, Average BCE: 0.0682, Average KLD: 0.0046
Epoch 77, Average Loss: 0.0738, Average BCE: 0.0686, Average KLD: 0.0052
Epoch 78, Average Loss: 0.0757, Average BCE: 0.0715, Average KLD: 0.0041
Epoch 79, Average Loss: 0.0732, Average BCE: 0.0690, Average KLD: 0.0042
Epoch 80, Average Loss: 0.0727, Average BCE: 0.0690, Average KLD: 0.0038
Epoch 81, Average Loss: 0.0711, Average BCE: 0.0675, Average KLD: 0.0035
Epoch 82, Average Loss: 0.0704, Average BCE: 0.0669, Average KLD: 0.0035
Epoch 83, Average Loss: 0.0736, Average BCE: 0.0706, Average KLD: 0.0029
Epoch 84, Average Loss: 0.0661, Average BCE: 0.0630, Average KLD: 0.0031
Epoch 85, Average Loss: 0.0695, Average BCE: 0.0670, Average KLD: 0.0026
Epoch 86, Average Loss: 0.0708, Average BCE: 0.0680, Average KLD: 0.0028
Epoch 87, Average Loss: 0.0730, Average BCE: 0.0707, Average KLD: 0.0023
Epoch 88, Average Loss: 0.0728, Average BCE: 0.0704, Average KLD: 0.0024
Epoch 89, Average Loss: 0.0721, Average BCE: 0.0700, Average KLD: 0.0021
Epoch 90, Average Loss: 0.0692, Average BCE: 0.0671, Average KLD: 0.0021
Epoch 91, Average Loss: 0.0714, Average BCE: 0.0696, Average KLD: 0.0019
Epoch 92, Average Loss: 0.0737, Average BCE: 0.0719, Average KLD: 0.0018
Epoch 93, Average Loss: 0.0663, Average BCE: 0.0646, Average KLD: 0.0017
Epoch 94, Average Loss: 0.0700, Average BCE: 0.0685, Average KLD: 0.0015
Epoch 95, Average Loss: 0.0693, Average BCE: 0.0678, Average KLD: 0.0015
Epoch 96, Average Loss: 0.0690, Average BCE: 0.0677, Average KLD: 0.0014
Epoch 97, Average Loss: 0.0707, Average BCE: 0.0693, Average KLD: 0.0014
Epoch 98, Average Loss: 0.0726, Average BCE: 0.0713, Average KLD: 0.0013
Epoch 99, Average Loss: 0.0721, Average BCE: 0.0708, Average KLD: 0.0013
